global_step,success,ep_len,mean_return,hazard_steps,approx_kl,sps
8192,nan,nan,nan,nan,0.01610318198800087,857
16384,nan,nan,nan,nan,0.007844353094696999,840
24576,nan,nan,nan,nan,0.010310783050954342,850
32768,nan,nan,nan,nan,0.008925458416342735,860
40960,0.0,599.0,-4.066111501306295,0.0,0.007930938154459,862
49152,0.0,599.0,-4.066111501306295,0.0,0.008000620640814304,862
57344,0.0,599.0,-4.066111501306295,0.0,0.009618326090276241,846
65536,0.0,599.0,-4.066111501306295,0.0,0.007108071818947792,818
73728,0.0,599.0,-4.066111501306295,0.0,0.007334369234740734,795
81920,0.0,599.0,-3.5841307544708254,1.43,0.005046497099101543,778
90112,0.0,599.0,-3.5841307544708254,1.43,0.006312401965260506,765
98304,0.0,599.0,-3.5841307544708254,1.43,0.0033737150952219963,757
106496,0.01,597.01,-3.3939001417160033,1.43,0.002897420199587941,754
114688,0.02,596.0,-3.757834610939026,2.53,0.003558184253051877,750
122880,0.02,596.0,-4.162724493741989,4.23,0.008078706450760365,742
131072,0.02,596.0,-4.162724493741989,4.23,0.005550602450966835,747
139264,0.02,596.0,-4.162724493741989,4.23,0.0034949257969856262,754
147456,0.02,596.0,-4.174833340644836,4.23,0.007793174125254154,758
155648,0.0,599.0,-4.006396667361259,2.76,0.004316640552133322,763
163840,0.0,599.0,-4.006396667361259,2.76,0.009027455002069473,768
172032,0.0,599.0,-4.006396667361259,2.76,0.002284717746078968,769
180224,0.0,599.0,-3.9958735686540603,2.76,0.0016319181304425001,773
188416,0.0,599.0,-4.0140691012144085,2.76,0.004897944629192352,769
196608,0.0,599.0,-5.105816474556923,5.64,0.0031625081319361925,766
204800,0.0,599.0,-5.105816474556923,5.64,0.003365877317264676,761
212992,0.0,599.0,-5.105816474556923,5.64,0.006775053218007088,754
221184,0.0,599.0,-5.105785728693008,5.64,0.0010444782674312592,749
229376,0.0,599.0,-5.09522446513176,5.64,0.0006136962911114097,744
237568,0.0,599.0,-2.1182141524553297,0.0,0.013519931584596634,741
245760,0.0,599.0,-2.1182141524553297,0.0,0.002743379445746541,739
253952,0.01,596.74,-1.941489970088005,0.0,0.00257045216858387,738
262144,0.01,596.74,-1.949931530356407,0.0,0.002968794433400035,740
270336,0.01,596.74,-2.211197280883789,0.0,0.010994870215654373,741
278528,0.01,596.74,-2.211197280883789,0.0,0.005311078857630491,744
286720,0.01,596.74,-2.211197280883789,0.0,0.001434524543583393,746
294912,0.01,596.74,-2.21127720952034,0.0,0.001181906322017312,746
303104,0.01,596.74,-2.2601243543624876,0.0,0.0031573311425745487,744
311296,0.0,599.0,-2.315416580438614,0.0,0.005412258207798004,745
319488,0.0,599.0,-2.315416580438614,0.0,0.005075492896139622,743
327680,0.0,599.0,-2.315416580438614,0.0,0.003358857473358512,741
335872,0.0,599.0,-2.294235061407089,0.0,0.00809984840452671,739
344064,0.0,599.0,-2.294280010461807,0.0,0.005820572376251221,733
352256,0.0,599.0,-2.079247087240219,0.0,0.006531256716698408,725
360448,0.0,599.0,-2.079247087240219,0.0,0.001162627711892128,724
368640,0.0,599.0,-2.079247087240219,0.0,0.0018776407232508063,724
376832,0.0,599.0,-2.079335993528366,0.0,0.0018709823489189148,726
385024,0.0,599.0,-2.183190814256668,0.0,0.003091532038524747,727
393216,0.0,599.0,-2.183190814256668,0.0,0.006501729600131512,730
401408,0.0,599.0,-2.183190814256668,0.0,0.0005259130848571658,733
409600,0.0,599.0,-2.1832255613803864,0.0,0.004945752210915089,734
417792,0.0,599.0,-2.183217326402664,0.0,0.005334857851266861,736
425984,0.0,599.0,-2.1781262600421907,0.0,0.006390520371496677,737
434176,0.0,599.0,-2.1781262600421907,0.0,0.005815501324832439,737
442368,0.0,599.0,-2.1781262600421907,0.0,0.004383268766105175,736
450560,0.0,599.0,-2.1780920326709747,0.0,0.0023950731847435236,735
458752,0.0,599.0,-2.1780920326709747,0.0,0.0007786521455273032,734
466944,0.0,599.0,-2.0449619162082673,0.0,0.004937205463647842,735
475136,0.0,599.0,-2.0449619162082673,0.0,0.004999765194952488,734
