global_step,success,ep_len,mean_return,hazard_steps,approx_kl,sps
8192,nan,nan,nan,nan,0.00926936138421297,815
16384,nan,nan,nan,nan,0.01100742444396019,835
24576,0.0,299.0,-2.485052628442645,0.0,0.006970492657274008,839
32768,0.0,299.0,-2.485052628442645,0.0,0.006349417380988598,822
40960,0.0,299.0,-1.8824031444638967,0.0,0.010133800096809864,790
49152,0.0,299.0,-1.8824031444638967,0.0,0.009994425810873508,778
57344,0.0,299.0,-1.8824031444638967,0.0,0.016138402745127678,768
65536,0.0,299.0,-0.7929491738975049,0.0,0.015780530869960785,762
73728,0.0,299.0,-0.7929491738975049,0.0,0.005677748471498489,752
81920,0.0,299.0,0.211857368350029,0.0,0.003047193866223097,753
90112,0.0,299.0,0.211857368350029,0.0,0.005460209213197231,760
98304,0.0,299.0,0.5600539941340685,0.0,0.0007023813668638468,768
106496,0.0,299.0,0.5600539941340685,0.0,0.006432104855775833,771
114688,0.0,299.0,0.5600539941340685,0.0,0.01199190691113472,776
122880,0.0,299.0,-0.05932818435132504,1.44,0.010589583776891232,780
131072,0.0,299.0,-0.05932818435132504,1.44,0.0020887041464447975,781
139264,0.0,299.0,-0.24713276118040084,2.31,0.01682167686522007,785
147456,0.0,299.0,-0.24713276118040084,2.31,0.0032005079556256533,788
155648,0.0,299.0,-0.0076326805353164676,2.06,0.0019535659812390804,793
163840,0.0,299.0,-0.0076326805353164676,2.06,0.004119058605283499,794
172032,0.0,299.0,-0.0076326805353164676,2.06,0.0072317784652113914,794
180224,0.0,299.0,1.0089581460505723,0.0,0.00972325261682272,790
188416,0.0,299.0,1.0089581460505723,0.0,0.0031724271830171347,786
196608,0.0,299.0,1.0145251287519932,0.0,0.004000184126198292,783
204800,0.0,299.0,1.0145251287519932,0.0,0.009422572329640388,780
212992,0.0,299.0,1.023713768273592,0.0,0.00449858233332634,778
221184,0.0,299.0,1.023713768273592,0.0,0.019490592181682587,774
229376,0.0,299.0,1.023713768273592,0.0,0.005822254344820976,772
237568,0.0,299.0,0.9875697690993548,0.0,0.005775081925094128,774
245760,0.0,299.0,0.9875697690993548,0.0,0.009131716564297676,775
253952,0.0,299.0,1.0986634511500597,0.0,0.011490538716316223,778
262144,0.0,299.0,1.0986634511500597,0.0,0.00478945579379797,780
270336,0.0,299.0,1.1349635837972165,0.0,0.008046935312449932,782
278528,0.0,299.0,1.1349635837972165,0.0,0.010626225732266903,785
286720,0.0,299.0,1.1349635837972165,0.0,0.0016417820006608963,787
294912,0.0,299.0,1.1561563094705343,0.0,0.005242102779448032,788
303104,0.0,299.0,1.1561563094705343,0.0,0.003825374646112323,789
311296,0.0,299.0,0.6651128929853439,0.87,0.005560174118727446,789
319488,0.0,299.0,0.6651128929853439,0.87,0.0028401874005794525,788
327680,0.0,299.0,0.7533758088201284,0.84,0.008610574528574944,785
335872,0.0,299.0,0.7533758088201284,0.84,0.0038078990764915943,783
344064,0.0,299.0,0.7533758088201284,0.84,0.003424774156883359,781
352256,0.0,299.0,0.17529264956712723,1.79,0.005742838140577078,780
360448,0.0,299.0,0.17529264956712723,1.79,0.006218004040420055,777
368640,0.0,299.0,0.24414171926677228,1.84,0.0021937666460871696,775
376832,0.0,299.0,0.24414171926677228,1.84,0.00442711915820837,775
385024,0.0,299.0,0.8245292089879512,0.79,0.0024977335706353188,776
