episodes,route_opt,success,hazard,obey,mean_return,entropy,sps
256,0.59765625,0.59375,0.0,1.0,10.17690658569336,0.4795928974635899,607
512,0.518,0.516,0.122,1.0,7.809079647064209,0.5290332436561584,595
768,0.518,0.518,0.122,1.0,9.880363464355469,0.5314326491206884,590
1024,0.648,0.648,0.0,1.0,13.005830764770508,0.4791117999702692,587
1280,0.676,0.676,0.062,1.0,11.434420585632324,0.34280791599303484,585
1536,0.696,0.696,0.162,1.0,13.715433120727539,0.4753642063587904,582
1792,0.772,0.77,0.288,1.0,14.194929122924805,0.30241611134260893,580
2048,0.834,0.832,0.188,1.0,16.350685119628906,0.0740267182700336,578
2304,0.93,0.926,0.0,1.0,18.01838493347168,0.036710566957481205,576
2560,0.98,0.968,0.0,1.0,17.873077392578125,0.01903616968775168,575
2816,0.99,0.972,0.0,1.0,18.084735870361328,0.02421557006891817,573
3072,0.996,0.982,0.0,1.0,18.493749618530273,0.027313189348205924,572
3328,0.994,0.984,0.0,1.0,18.205223083496094,0.0546727855107747,570
3585,0.992,0.986,0.0,1.0,18.494619369506836,0.2416561939753592,569
3841,0.966,0.962,0.0,1.0,17.296266555786133,0.10110974637791514,569
4097,0.856,0.846,0.0,1.0,13.428645133972168,0.19362160027958453,569
4353,0.792,0.784,0.0,1.0,14.64393138885498,0.04672782408306375,569
4609,0.914,0.91,0.0,1.0,18.538249969482422,0.021863255475182086,568
4865,0.99,0.984,0.0,1.0,18.057619094848633,0.08997951191850007,567
5121,0.976,0.968,0.0,1.0,17.727201461791992,0.05882200878113508,566
5377,0.974,0.966,0.0,1.0,18.097761154174805,0.0648276477586478,566
5633,0.978,0.974,0.0,1.0,18.097198486328125,0.10427970136515796,565
5889,0.958,0.95,0.0,1.0,16.99448013305664,0.21758182905614376,568
