episodes,route_opt,success,hazard,obey,mean_return,entropy,sps
262,0.583969465648855,0.5801526717557252,0.007633587786259542,1.0,10.03768253326416,0.6930071949958801,768
518,0.5,0.498,0.07,1.0,7.264590263366699,0.6929406709969044,760
774,0.498,0.498,0.244,1.0,9.321783065795898,0.6846124827861786,760
1030,0.526,0.526,0.178,1.0,8.655953407287598,0.6548334397375584,760
1286,0.494,0.494,0.18,1.0,7.878325462341309,0.6772332862019539,760
1542,0.498,0.492,0.698,1.0,8.415778160095215,0.6792524270713329,760
1798,0.508,0.502,0.718,1.0,8.438787460327148,0.6198956519365311,761
2054,0.496,0.496,0.248,1.0,8.200651168823242,0.649290207773447,760
2310,0.48,0.478,0.048,1.0,8.09420394897461,0.5479735918343067,761
2566,0.48,0.476,0.656,1.0,8.179852485656738,0.5337299630045891,761
2822,0.506,0.504,0.656,1.0,9.357397079467773,0.4788719844073057,761
3078,0.536,0.536,0.04,1.0,9.547889709472656,0.4432805348187685,761
3335,0.546,0.546,0.04,1.0,9.498248100280762,0.4229373075067997,760
3591,0.518,0.518,0.186,1.0,8.60189151763916,0.36983651481568813,760
3847,0.472,0.472,0.308,1.0,7.609560012817383,0.39892425760626793,760
4104,0.428,0.428,0.144,1.0,6.797039031982422,0.3997467253357172,760
4360,0.476,0.474,0.318,1.0,9.385480880737305,0.38960945419967175,760
4616,0.504,0.502,0.408,1.0,8.107025146484375,0.385110342875123,760
4872,0.51,0.51,0.392,1.0,9.509912490844727,0.3762216567993164,760
5128,0.492,0.492,0.672,1.0,7.828289031982422,0.3615089077502489,760
5384,0.48,0.48,0.632,1.0,8.705120086669922,0.3615650646388531,760
5640,0.502,0.5,0.24,1.0,8.761091232299805,0.353722320869565,760
5896,0.486,0.482,0.138,1.0,8.194171905517578,0.3497236371040344,760
