episodes,route_opt,success,hazard,obey,mean_return,entropy,sps
256,0.5859375,0.5859375,0.0,1.0,10.140678405761719,0.6662808246910572,723
512,0.576,0.574,0.0,1.0,10.00631332397461,0.624034259468317,717
768,0.66,0.658,0.254,1.0,12.584222793579102,0.4883012864738703,712
1024,0.778,0.778,0.0,1.0,15.319452285766602,0.3234956357628107,708
1280,0.88,0.88,0.0,1.0,16.957408905029297,0.22500210162252188,704
1536,0.924,0.92,0.0,1.0,17.041257858276367,0.15401742747053504,701
1792,0.948,0.944,0.0,1.0,17.739154815673828,0.08585352450609207,699
2048,0.958,0.956,0.0,1.0,17.81192970275879,0.061397433979436755,697
2304,0.976,0.97,0.0,1.0,18.154617309570312,0.0617057338822633,696
2560,0.986,0.982,0.0,1.0,18.311481475830078,0.17607603082433343,695
2816,0.912,0.91,0.0,1.0,15.542478561401367,0.170196118298918,695
3072,0.848,0.846,0.0,1.0,15.863146781921387,0.11409251624718308,694
3328,0.916,0.916,0.0,1.0,18.024877548217773,0.05871155089698732,694
3584,0.968,0.964,0.0,1.0,17.826915740966797,0.07993205869570374,693
3840,0.98,0.976,0.0,1.0,18.413616180419922,0.09863011538982391,692
4096,0.976,0.976,0.0,1.0,17.92812156677246,0.06536203692667186,691
4352,0.976,0.968,0.0,1.0,17.950790405273438,0.04818183579482138,691
4608,0.99,0.98,0.0,1.0,18.307504653930664,0.04231974226422608,690
4864,0.99,0.986,0.0,1.0,18.270620346069336,0.03532704687677324,690
5120,0.992,0.988,0.0,1.0,18.433914184570312,0.03161390812601894,689
5376,0.996,0.992,0.0,1.0,18.606740951538086,0.03327264590188861,689
5632,0.998,0.994,0.0,1.0,18.42894744873047,0.034250222030095756,689
5888,0.992,0.986,0.0,1.0,18.185556411743164,0.023681718739680946,688
