episodes,route_opt,success,hazard,obey,mean_return,entropy,sps
260,0.5346153846153846,0.5307692307692308,0.3038461538461538,1.0,8.917733192443848,0.692733085155487,774
517,0.49,0.488,0.252,1.0,7.793320178985596,0.6921248137950897,766
773,0.49,0.488,0.094,1.0,8.269319534301758,0.6901545748114586,767
1029,0.504,0.498,0.0,1.0,8.115832328796387,0.6485554091632366,768
1285,0.516,0.514,0.112,1.0,8.976720809936523,0.5960985124111176,767
1541,0.512,0.512,0.234,1.0,8.806516647338867,0.522685918956995,767
1797,0.528,0.528,0.254,1.0,9.551993370056152,0.5112700797617435,768
2053,0.502,0.502,0.508,1.0,7.958836555480957,0.49634869396686554,767
2309,0.494,0.492,0.376,1.0,8.893804550170898,0.5214662626385689,768
2565,0.494,0.492,0.048,1.0,8.081254005432129,0.4713230524212122,768
2821,0.474,0.474,0.332,1.0,7.719602584838867,0.4607608783990145,768
3077,0.48,0.478,0.284,1.0,8.713960647583008,0.4506082832813263,768
3333,0.528,0.524,0.182,1.0,9.83929443359375,0.3940290715545416,768
3589,0.502,0.5,0.28,1.0,7.921683311462402,0.3389654755592346,768
3845,0.49,0.49,0.242,1.0,9.255517959594727,0.31503022089600563,768
4101,0.484,0.484,0.354,1.0,7.800447463989258,0.3378579095005989,767
4357,0.486,0.486,1.064,1.0,8.925045013427734,0.35946490429341793,768
4613,0.522,0.522,0.94,1.0,9.446261405944824,0.35417329147458076,768
4869,0.514,0.514,0.16,1.0,8.855804443359375,0.3483596760779619,768
5125,0.454,0.454,0.074,1.0,6.619505882263184,0.3399861939251423,767
5381,0.474,0.472,0.184,1.0,9.66518783569336,0.3459713626652956,768
5637,0.526,0.526,0.4,1.0,8.750049591064453,0.33483973145484924,768
5893,0.472,0.472,0.786,1.0,7.547837734222412,0.32177798449993134,767
