episodes,route_opt,success,hazard,obey,mean_return,entropy,sps
256,0.53125,0.53125,0.05078125,1.0,8.929844856262207,0.3740909341722727,594
512,0.486,0.486,0.268,1.0,8.002349853515625,0.014099880820140243,577
768,0.482,0.48,0.488,1.0,8.822254180908203,0.016829885658808053,572
1024,0.496,0.494,0.568,1.0,8.876670837402344,0.06894408096559346,569
1280,0.496,0.496,0.322,1.0,8.951894760131836,0.3335631275549531,567
1536,0.556,0.556,0.176,1.0,10.874427795410156,0.3314142171293497,565
1792,0.706,0.702,0.28,1.0,13.998139381408691,0.39010274037718773,564
2048,0.774,0.77,0.104,1.0,13.849302291870117,0.20635361125459895,562
2304,0.79,0.79,0.0,1.0,15.203429222106934,0.010868799057789147,560
2561,0.926,0.922,0.0,1.0,18.36179542541504,0.02318604104220867,558
2817,0.996,0.992,0.0,1.0,18.523902893066406,0.05269382658491395,557
3073,0.83,0.826,0.0,1.0,12.238757133483887,7.833725084172016e-07,557
3329,0.604,0.6,0.364,1.0,9.86015510559082,6.298113441882691e-08,558
3585,0.554,0.554,0.558,1.0,10.082895278930664,8.769080572790244e-07,558
3841,0.532,0.532,0.298,1.0,9.0616455078125,1.3075395095540898e-06,558
4097,0.508,0.508,0.104,1.0,8.810554504394531,1.3709210975321184e-06,559
4353,0.496,0.496,0.496,1.0,8.633180618286133,1.4914847810132414e-06,562
4609,0.484,0.484,0.326,1.0,8.202585220336914,1.6500037389732825e-06,573
4865,0.486,0.486,0.324,1.0,9.04552173614502,1.657106615482462e-06,591
5121,0.514,0.514,0.528,1.0,9.211199760437012,1.7354691195237137e-06,608
5377,0.524,0.524,0.362,1.0,9.399276733398438,1.7050084508696273e-06,624
5633,0.558,0.556,0.386,1.0,10.589876174926758,1.5448053005684415e-06,638
5889,0.568,0.566,0.228,1.0,9.807364463806152,1.6655418946243117e-06,652
