episodes,route_opt,success,hazard,obey,mean_return,entropy,sps
256,0.515625,0.51171875,0.0,1.0,8.708538055419922,0.6905160136520863,778
512,0.49,0.488,0.18,1.0,8.192286491394043,0.6710943095386028,771
769,0.5,0.496,0.246,1.0,8.603255271911621,0.6455912329256535,771
1025,0.5,0.496,0.15,1.0,8.208019256591797,0.6414105035364628,771
1281,0.48,0.48,0.354,1.0,8.149885177612305,0.5686554834246635,772
1537,0.484,0.484,0.78,1.0,8.505583763122559,0.5285500548779964,771
1793,0.508,0.506,0.716,1.0,9.418983459472656,0.47078225761651993,772
2049,0.512,0.51,0.206,1.0,8.286308288574219,0.4452287405729294,772
2305,0.482,0.482,0.312,1.0,8.0999755859375,0.43705596774816513,772
2561,0.474,0.474,0.312,1.0,8.19166374206543,0.4109567254781723,772
2817,0.506,0.506,0.04,1.0,9.196353912353516,0.383869007229805,772
3073,0.474,0.474,0.04,1.0,7.494373321533203,0.368127029389143,773
3329,0.456,0.454,0.0,1.0,7.614309787750244,0.34668503887951374,773
3585,0.492,0.49,0.0,1.0,9.47441291809082,0.31471523456275463,773
3841,0.51,0.51,0.03,1.0,8.56660270690918,0.29185719415545464,772
4097,0.48,0.48,0.04,1.0,8.102349281311035,0.24990520253777504,772
4353,0.5,0.5,0.144,1.0,9.3142671585083,0.22140526585280895,773
4609,0.494,0.494,0.134,1.0,7.953423976898193,0.18508168123662472,772
4865,0.47,0.47,0.306,1.0,8.671195983886719,0.1891818307340145,773
5121,0.536,0.536,0.306,1.0,10.151390075683594,0.1833723308518529,772
5377,0.536,0.536,0.01,1.0,8.924430847167969,0.17581004556268454,772
5633,0.514,0.514,0.01,1.0,9.096323013305664,0.174435842782259,772
5889,0.522,0.522,0.0,1.0,9.209264755249023,0.17447609174996614,772
