episodes,route_opt,success,hazard,obey,mean_return,entropy,sps
262,0.5687022900763359,0.5687022900763359,0.0,1.0,9.783997535705566,0.6911664754152298,557
518,0.54,0.538,0.0,1.0,9.156007766723633,0.6724185422062874,550
774,0.568,0.564,0.432,1.0,10.17098617553711,0.6123048774898052,547
1030,0.66,0.658,0.432,1.0,12.699504852294922,0.5300991404801607,543
1286,0.756,0.756,0.0,1.0,14.493379592895508,0.4536088574677706,541
1542,0.838,0.834,0.0,1.0,15.533645629882812,0.38937181420624256,539
1798,0.868,0.864,0.0,1.0,15.795055389404297,0.34545961394906044,538
2054,0.894,0.888,0.0,1.0,16.690170288085938,0.3137212712317705,536
2310,0.904,0.898,0.0,1.0,16.39221954345703,0.27975418604910374,535
2566,0.912,0.908,0.104,1.0,17.003503799438477,0.24640819523483515,534
2822,0.938,0.928,0.104,1.0,17.164451599121094,0.22252856381237507,533
3078,0.932,0.924,0.0,1.0,16.859233856201172,0.1993643706664443,532
3334,0.942,0.936,0.0,1.0,17.53207778930664,0.1731042955070734,531
3590,0.944,0.938,0.04,1.0,17.00185775756836,0.15205671917647123,531
3846,0.942,0.938,0.04,1.0,17.569664001464844,0.13352718483656645,530
4102,0.96,0.954,0.0,1.0,17.57155990600586,0.11778528522700071,529
4359,0.974,0.966,0.0,1.0,18.153461456298828,0.10330258402973413,528
4615,0.976,0.97,0.0,1.0,17.77332305908203,0.09400554932653904,528
4871,0.974,0.972,0.0,1.0,18.34337615966797,0.08119545225054026,528
5127,0.984,0.98,0.0,1.0,18.12637710571289,0.07574862847104669,527
5383,0.988,0.976,0.0,1.0,18.15900421142578,0.06947207637131214,527
5640,0.99,0.982,0.0,1.0,18.328311920166016,0.0670956033281982,530
5896,0.982,0.982,0.0,1.0,18.16905975341797,0.0662011681124568,535
