global_step,success,success_slab_top,success_slab_bottom,ep_len,mean_return,hazard_steps,approx_kl,sps
8192,nan,nan,nan,nan,nan,nan,0.010130532085895538,491
16384,nan,nan,nan,nan,nan,nan,0.028117535635828972,495
24576,nan,nan,nan,nan,nan,nan,0.006788593716919422,494
32768,nan,nan,nan,nan,nan,nan,0.003597130998969078,490
40960,0.0,0.0,0.0,599.0,-2.3994262479245663,0.0,0.014758962206542492,489
49152,0.0,0.0,0.0,599.0,-2.3994262479245663,0.0,0.014462948776781559,489
57344,0.0,0.0,0.0,599.0,-2.3994262479245663,0.0,0.00687031215056777,490
65536,0.0,0.0,0.0,599.0,-2.3994262479245663,0.0,0.004521033726632595,490
73728,0.0,0.0,0.0,599.0,-2.3994262479245663,0.0,0.009264244697988033,489
81920,0.0,0.0,0.0,599.0,-2.4740678714960813,2.86,0.007943471893668175,488
90112,0.0,0.0,0.0,599.0,-2.4740678714960813,2.86,0.008510498329997063,489
98304,0.0,0.0,0.0,599.0,-2.4740678714960813,2.86,0.006299322005361319,490
106496,0.0,0.0,0.0,599.0,-2.4740678714960813,2.86,0.003640354610979557,489
114688,0.01,0.015625,0.0,598.45,-2.3162622117251157,2.86,0.023049592971801758,489
122880,0.01,0.01,0.0,598.45,-2.0150723844766616,2.12,0.014266140758991241,488
131072,0.01,0.01,0.0,598.45,-2.0150723844766616,2.12,0.010936672799289227,489
139264,0.01,0.01,0.0,598.45,-2.0150723844766616,2.12,0.003967927768826485,489
147456,0.02,0.02,0.0,596.56,-1.801246219277382,1.1,0.00639690924435854,488
155648,0.03,0.03,0.01,595.86,-1.8237171792984008,6.65,0.006140478421002626,488
163840,0.03,0.03,0.01,595.86,-1.8237171792984008,6.65,0.009328985586762428,488
172032,0.03,0.03,0.01,595.86,-1.8237171792984008,6.65,0.007096346467733383,489
180224,0.03,0.03,0.01,595.86,-1.8306843423843384,6.65,0.009256472811102867,489
188416,0.04,0.03,0.02,595.19,-1.6782761859893798,7.49,0.009774366393685341,488
196608,0.01,0.03,0.02,598.33,-1.6756080549955368,2.11,0.0057877907529473305,488
204800,0.01,0.03,0.02,598.33,-1.6756080549955368,2.11,0.006724122911691666,489
212992,0.01,0.03,0.02,598.33,-1.6756080549955368,2.11,0.0047576953656971455,489
221184,0.01,0.03,0.02,598.33,-1.6758990746736526,2.11,0.005445373710244894,489
229376,0.01,0.03,0.02,598.33,-1.7059631937742232,2.11,0.01642359420657158,489
237568,0.0,0.02,0.01,599.0,-1.907715726494789,0.0,0.009002516977488995,490
245760,0.0,0.02,0.01,599.0,-1.907715726494789,0.0,0.005994874984025955,490
253952,0.05,0.06,0.02,586.32,-1.0578053045272826,0.56,0.010560917668044567,491
262144,0.11,0.11,0.03,578.86,-0.13747485727071762,1.21,0.013289492577314377,491
270336,0.15,0.12,0.03,576.48,0.14230147987604141,9.99,0.010319135151803493,491
278528,0.16,0.13,0.03,573.08,0.3413118329644203,9.99,0.00783627200871706,491
286720,0.17,0.14,0.03,570.1,0.5152924516797066,9.99,0.01404825784265995,491
294912,0.2,0.17,0.03,562.06,1.0000112133473158,12.54,0.006473131012171507,491
303104,0.21,0.18,0.03,560.75,0.9287662833184004,17.42,0.01208369992673397,490
311296,0.06,0.18,0.03,583.27,-0.7162177846580744,12.98,0.005554958712309599,490
319488,0.06,0.18,0.03,583.27,-0.793537752404809,12.98,0.008744513615965843,490
327680,0.07,0.19,0.03,580.08,-0.6606424466520547,12.98,0.009574543684720993,490
335872,0.07,0.19,0.03,580.08,-0.6168565575033427,12.98,0.007989590987563133,490
344064,0.07,0.19,0.03,580.08,-0.5659412483125925,12.98,0.007291762623935938,489
352256,0.01,0.19,0.03,595.81,-1.361932131499052,2.71,0.006475788541138172,489
360448,0.01,0.19,0.03,595.81,-1.4391506074368954,3.68,0.008496763184666634,489
368640,0.04,0.22,0.0,588.2,-0.9377368675172328,3.68,0.011701265349984169,489
376832,0.08,0.2,0.01,582.48,-0.1810923072695732,2.41,0.020750749856233597,489
385024,0.1,0.16,0.01,581.75,0.267486292719841,1.45,0.008720086887478828,488
393216,0.1,0.16,0.01,581.75,0.2674963933229446,1.45,0.009513769298791885,488
401408,0.13,0.19,0.01,574.12,0.7813542008399963,1.45,0.008381722494959831,488
409600,0.13,0.16,0.01,574.12,0.7646487820148468,1.45,0.017177201807498932,488
417792,0.13,0.14,0.01,574.12,0.7676786053180694,1.45,0.005988654680550098,488
425984,0.04,0.13,0.01,591.3,-1.0011787605285645,0.0,0.0049202232621610165,487
434176,0.03,0.13,0.01,591.37,-1.1903330039978028,0.0,0.014180755242705345,488
442368,0.03,0.13,0.01,591.37,-1.2580479490756988,0.02,0.0065085263922810555,488
450560,0.04,0.14,0.01,588.52,-1.2336814272403718,1.16,0.011612744070589542,487
458752,0.04,0.13,0.01,588.52,-1.1052325892448425,1.16,0.008798912167549133,486
466944,0.01,0.13,0.01,596.15,-1.3396682944893836,1.16,0.005412133876234293,487
475136,0.05,0.16,0.02,591.62,-0.70692137748003,1.7,0.003592029446735978,487
483328,0.1,0.16,0.04,578.16,0.2534916737675667,2.71,0.007688481360673904,487
491520,0.16,0.17,0.04,567.85,1.1491380426287652,4.91,0.013329584151506424,486
499712,0.16,0.16,0.04,568.26,1.0480570900440216,3.75,0.0041299425065517426,486
507904,0.19,0.18,0.05,559.81,1.5327599275112151,4.24,0.01135416328907013,486
516096,0.21,0.19,0.06,556.65,1.7759219211339952,4.79,0.006363352760672569,486
524288,0.22,0.17,0.06,555.62,1.8649216601252556,4.79,0.003574775531888008,486
532480,0.22,0.17,0.06,555.62,1.8470213600993157,4.79,0.005940326489508152,486
540672,0.09,0.17,0.06,581.23,-0.2771012404561043,1.04,0.012535455636680126,486
548864,0.06,0.17,0.06,586.36,-0.8438416865468025,1.04,0.0043629612773656845,486
557056,0.06,0.16,0.06,586.36,-0.8172737577557564,1.04,0.0063203973695635796,486
565248,0.06,0.16,0.06,586.36,-0.8368041658401489,1.04,0.01316921878606081,486
573440,0.04,0.16,0.06,591.66,-1.1537084543704987,0.55,0.011952297762036324,486
581632,0.0,0.13,0.06,599.0,-1.790539903640747,0.0,0.009533831849694252,486
589824,0.0,0.12,0.06,599.0,-1.7443302500247955,0.0,0.007110792677849531,486
598016,0.0,0.1,0.06,599.0,-1.742108747959137,0.0,0.00704736215993762,486
606208,0.0,0.05,0.04,599.0,-1.7303013515472412,0.0,0.0053797150030732155,486
614400,0.02,0.05,0.03,594.8,-1.3138080954551696,0.43,0.009742256253957748,486
622592,0.05,0.08,0.02,588.4,-0.7574714207649231,0.43,0.005787569098174572,486
630784,0.15,0.14,0.02,562.31,1.1603286719322206,0.43,0.0029335515573620796,486
638976,0.22,0.21,0.01,544.16,2.4582400953769685,0.43,0.00350570073351264,485
647168,0.3,0.29,0.01,529.54,3.848755433559418,0.43,0.015768863260746002,485
655360,0.35,0.35,0.01,514.05,4.793361205458641,0.43,0.007751538418233395,485
663552,0.4,0.4,0.01,504.27,5.659476830363274,0.43,0.007332244887948036,485
671744,0.43,0.43,0.01,494.61,5.639574285149575,1.09,0.006434771232306957,485
679936,0.38,0.45,0.01,510.84,4.6756427425146105,0.66,0.011507658287882805,485
688128,0.34,0.51,0.01,525.33,3.8946384316682816,0.66,0.008777212351560593,485
696320,0.3,0.55,0.01,530.98,3.215958563685417,0.66,0.014332997612655163,485
704512,0.25,0.57,0.01,541.7,2.3277905088663102,0.66,0.006645365618169308,485
712704,0.26,0.57,0.01,538.61,2.4626742780208586,0.66,0.021879231557250023,485
720896,0.2,0.56,0.01,551.11,1.4333624267578124,0.66,0.0098011065274477,485
729088,0.25,0.55,0.01,542.67,2.663218414783478,0.0,0.009198961779475212,485
737280,0.25,0.54,0.02,543.1,2.6589130043983458,0.49,0.009111970663070679,484
745472,0.28,0.54,0.01,530.59,3.185653667449951,0.49,0.02424582466483116,484
753664,0.29,0.53,0.02,530.6,3.33060108423233,1.21,0.008021223358809948,484
761856,0.3,0.54,0.02,528.1,3.5453413730859755,1.21,0.007462413515895605,484
770048,0.34,0.5,0.07,518.41,4.158876121640206,6.43,0.024921001866459846,484
778240,0.35,0.53,0.09,510.76,4.339719914793968,7.43,0.006579227279871702,484
786432,0.39,0.53,0.11,493.94,5.17493503510952,7.98,0.018638446927070618,484
794624,0.38,0.54,0.11,498.06,5.017791749835014,7.98,0.010632887482643127,484
802816,0.37,0.54,0.12,497.85,4.865238934755325,8.74,0.0064592729322612286,484
811008,0.35,0.56,0.13,501.53,4.584483945965767,7.73,0.0063558584079146385,484
819200,0.35,0.57,0.14,500.59,4.607679640054703,6.34,0.002399437827989459,484
827392,0.37,0.63,0.14,496.51,5.262960335016251,3.55,0.011193759739398956,484
835584,0.38,0.63,0.15,497.93,5.366666705012322,3.51,0.005827086046338081,484
843776,0.38,0.64,0.14,497.73,5.202302203178406,5.81,0.004803806077688932,484
851968,0.39,0.62,0.17,498.66,5.469757422208786,5.66,0.009768947958946228,484
860160,0.46,0.65,0.15,480.38,6.534384868741036,6.96,0.006663498468697071,484
868352,0.42,0.64,0.15,490.73,5.964046928882599,7.42,0.021432846784591675,484
876544,0.42,0.65,0.16,495.16,5.703562867641449,8.98,0.012862911447882652,484
884736,0.37,0.65,0.16,502.76,4.852083277702332,8.96,0.0034551017452031374,484
892928,0.35,0.61,0.15,509.08,4.518483628630638,7.56,0.004141619428992271,484
901120,0.3,0.59,0.15,525.1,3.7127886325120927,7.11,0.016886841505765915,484
909312,0.28,0.57,0.15,528.5,3.5111215853691102,6.29,0.014949915930628777,484
917504,0.26,0.57,0.17,531.81,2.901060384511948,7.53,0.011378422379493713,484
925696,0.28,0.54,0.18,522.54,3.237612957954407,6.09,0.007144690491259098,483
933888,0.27,0.52,0.17,525.78,3.1865305697917936,5.96,0.008909214287996292,483
942080,0.23,0.49,0.17,537.89,2.4189209508895875,7.48,0.006755095906555653,483
950272,0.23,0.45,0.16,538.2,2.369332648515701,6.69,0.014334365725517273,483
958464,0.23,0.39,0.14,537.85,2.3137374740839003,7.41,0.031180141493678093,483
966656,0.22,0.35,0.14,539.75,2.3063273137807845,7.27,0.01801302656531334,482
974848,0.21,0.35,0.12,539.24,2.172489160299301,6.64,0.005023777950555086,482
983040,0.19,0.35,0.12,545.97,1.7652223348617553,7.0,0.004047528840601444,482
991232,0.22,0.35,0.12,539.88,2.0780874526500703,7.32,0.008472072891891003,482
999424,0.21,0.32,0.1,541.67,2.0193003571033477,4.94,0.00976621638983488,482
1007616,0.19,0.3,0.11,548.22,1.3879321718215942,6.82,0.009313409216701984,482
1015808,0.2,0.31,0.13,545.23,1.6536152064800262,6.97,0.011099295690655708,482
1024000,0.21,0.31,0.11,541.46,1.8554328244924545,5.19,0.004050458315759897,482
1032192,0.18,0.29,0.09,549.97,1.2958785325288773,5.04,0.009403347037732601,482
1040384,0.19,0.3,0.1,545.97,1.4894142800569534,5.75,0.02172745391726494,482
1048576,0.21,0.31,0.1,539.15,1.7766635674238205,6.55,0.023943491280078888,482
1056768,0.24,0.3,0.11,529.01,2.1230620086193084,7.32,0.0029293112456798553,482
1064960,0.25,0.3,0.1,525.7,2.4133831697702406,5.23,0.0048219626769423485,482
1073152,0.23,0.31,0.1,532.14,1.9713191717863083,5.57,0.013724197633564472,481
1081344,0.22,0.28,0.1,534.94,1.9016360878944396,4.68,0.012493218295276165,481
1089536,0.2,0.28,0.09,541.33,1.4621588218212127,4.26,0.0028576520271599293,481
1097728,0.17,0.27,0.08,547.81,0.9998093944787979,2.85,0.005631049629300833,481
1105920,0.16,0.27,0.08,550.95,0.9285147154331207,2.05,0.005117645487189293,481
1114112,0.1,0.27,0.07,571.26,-0.07628675103187561,1.28,0.0029713406693190336,481
