step,inv_train,inv_val,eff_rank
200,0.011187,0.010909,6.458
400,0.038495,0.030441,11.550
600,0.032175,0.032650,14.780
800,0.042491,0.035845,18.035
1000,0.043755,0.041393,21.240
1200,0.065384,0.054604,23.591
1400,0.056990,0.053834,25.222
1600,0.055208,0.059547,27.121
1800,0.050110,0.055991,28.491
2000,0.057511,0.055138,30.156
2200,0.049144,0.053807,31.574
2400,0.065398,0.059775,32.716
2600,0.057742,0.061502,33.940
2800,0.066874,0.065554,34.758
3000,0.069297,0.063728,35.786
3200,0.058547,0.064023,37.422
3400,0.058170,0.061092,38.020
