timestamp,step,frame_age_s,header_age_s,raw_a0,raw_a1,raw_a2,scaled_x,scaled_y,scaled_wz,clamped_x,clamped_y,clamped_wz,armed,route,status
1786590690.363192,38,0.0618,0.0726,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590690.471346,39,0.0325,0.0393,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590690.563950,40,0.0666,0.0731,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590690.664615,41,0.0332,0.0395,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590690.767916,42,0.0664,0.0733,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590690.868145,43,0.0330,0.0405,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590690.965950,44,0.0647,0.0759,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590691.067687,45,0.0204,0.0388,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590691.173769,46,0.0711,0.0815,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590691.266100,47,0.0893,0.1060,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590691.376006,48,0.1932,0.2099,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590691.465260,49,0.0857,0.1054,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590691.570725,50,0.0608,0.0727,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590691.666386,51,0.0137,0.0383,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590691.768196,52,0.0700,0.0779,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590691.866556,53,0.0940,0.1055,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590691.973466,54,0.0581,0.0728,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590692.070267,55,0.0259,0.0393,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590692.170779,56,0.0610,0.0751,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590692.267814,57,0.0041,0.0381,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590692.371651,58,0.0662,0.0810,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590692.465945,59,0.0304,0.0398,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590692.567796,60,0.0657,0.0733,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590692.669523,61,0.0322,0.0398,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590692.769418,62,0.0672,0.0732,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590692.867911,63,0.0280,0.0388,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590692.966707,64,0.0682,0.0730,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590693.068427,65,0.0292,0.0392,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590693.163461,66,0.0623,0.0732,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590693.268043,67,0.0163,0.0393,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590693.380501,68,0.0736,0.0853,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590693.465540,69,0.0292,0.0393,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590693.566864,70,0.0659,0.0728,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590693.675253,71,0.0945,0.1044,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590693.767954,72,0.0566,0.0722,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590693.865000,73,0.0204,0.0373,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590693.965964,74,0.0646,0.0720,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590694.066323,75,0.0277,0.0394,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
1786590694.171984,76,0.0608,0.0731,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,1,top,armed
