global_step,success,success_slab_top,success_slab_bottom,ep_len,mean_return,hazard_steps,approx_kl,sps
8192,nan,nan,nan,nan,nan,nan,0.014427341520786285,1062
16384,nan,nan,nan,nan,nan,nan,0.019017627462744713,1059
24576,nan,nan,nan,nan,nan,nan,0.0041784122586250305,966
32768,nan,nan,nan,nan,nan,nan,0.01769045740365982,853
40960,0.0,0.0,0.0,599.0,-2.7099263817071915,0.0,0.010969715192914009,795
49152,0.0,0.0,0.0,599.0,-2.7099263817071915,0.0,0.02517886832356453,761
57344,0.0,0.0,0.0,599.0,-2.7099263817071915,0.0,0.0221688412129879,739
65536,0.0,0.0,0.0,599.0,-2.7099263817071915,0.0,0.007081920281052589,725
73728,0.0,0.0,0.0,599.0,-2.7099263817071915,0.0,0.0034025635104626417,714
81920,0.0,0.0,0.0,599.0,-2.415425188541412,0.0,0.011577894911170006,706
90112,0.0,0.0,0.0,599.0,-2.415425188541412,0.0,0.0045742010697722435,700
98304,0.0,0.0,0.0,599.0,-2.415425188541412,0.0,0.0017577355029061437,693
106496,0.0,0.0,0.0,599.0,-2.415425188541412,0.0,0.009170456789433956,687
114688,0.0,0.0,0.0,599.0,-2.415425188541412,0.0,0.005204624496400356,683
122880,0.0,0.0,0.0,599.0,-2.0562814593315126,0.0,0.005930578801780939,681
131072,0.0,0.0,0.0,599.0,-2.0562814593315126,0.0,0.0029545752331614494,678
139264,0.0,0.0,0.0,599.0,-2.0562814593315126,0.0,0.005402756854891777,675
147456,0.0,0.0,0.0,599.0,-2.0562814593315126,0.0,0.00426696240901947,673
155648,0.0,0.0,0.0,599.0,-1.9003736692667008,0.0,0.00851438008248806,671
163840,0.0,0.0,0.0,599.0,-1.9003736692667008,0.0,0.0034775082021951675,669
172032,0.0,0.0,0.0,599.0,-1.9003736692667008,0.0,0.006682661361992359,667
180224,0.0,0.0,0.0,599.0,-1.9003736692667008,0.0,0.0063869464211165905,665
188416,0.0,0.0,0.0,599.0,-1.9003736692667008,0.0,0.006956369616091251,663
196608,0.0,0.0,0.0,599.0,-2.022025461792946,1.06,0.008631182834506035,662
204800,0.0,0.0,0.0,599.0,-2.022025461792946,1.06,0.008101888000965118,660
212992,0.0,0.0,0.0,599.0,-2.022025461792946,1.06,0.005991204641759396,660
221184,0.0,0.0,0.0,599.0,-2.022025461792946,1.06,0.009455868974328041,659
229376,0.01,0.01,0.0,597.92,-1.8572834676504135,1.06,0.01443574670702219,658
237568,0.01,0.01,0.0,597.92,-1.9405638936161995,3.16,0.011012840084731579,657
245760,0.01,0.01,0.0,597.92,-1.9405638936161995,3.16,0.009150548838078976,656
253952,0.01,0.01,0.0,597.92,-1.9405638936161995,3.16,0.009047484025359154,656
262144,0.02,0.02,0.0,596.34,-1.775179459154606,3.16,0.006236184388399124,656
270336,0.01,0.02,0.0,597.42,-2.6591421405039726,6.76,0.015672028064727783,656
278528,0.01,0.02,0.0,597.42,-2.6591421405039726,6.76,0.00532677723094821,656
286720,0.01,0.02,0.0,597.42,-2.6591421405039726,6.76,0.0045972042717039585,655
294912,0.01,0.02,0.0,597.42,-2.6591421405039726,6.76,0.007071548607200384,655
303104,0.04,0.05,0.0,594.26,-2.0850648692809046,6.06,0.006136221811175346,654
311296,0.04,0.06,0.0,595.47,-0.9268563246913254,0.0,0.0026780832558870316,653
319488,0.04,0.06,0.0,595.47,-0.9268563246913254,0.0,0.008943112567067146,652
327680,0.04,0.06,0.0,595.47,-0.9268563246913254,0.0,0.038388147950172424,652
335872,0.06,0.07,0.01,591.5,-0.6733785277791321,0.73,0.007407332770526409,651
344064,0.09,0.09,0.01,589.44,-0.19406238736584783,0.73,0.0070317937061190605,651
352256,0.06,0.1,0.01,592.86,-0.47309087578207254,6.22,0.006275852210819721,650
360448,0.06,0.1,0.01,592.86,-0.47309087578207254,6.22,0.004219378810375929,650
368640,0.06,0.09,0.01,592.86,-0.469887072481215,6.22,0.007505941204726696,650
376832,0.13,0.16,0.01,584.04,0.6490114926919341,6.22,0.006123696453869343,649
385024,0.12,0.16,0.02,586.0,-0.5517789828963577,14.75,0.006653637625277042,648
393216,0.12,0.16,0.02,586.0,-0.5517789828963577,14.75,0.01225306373089552,648
401408,0.13,0.17,0.02,583.86,-0.3749357092566788,14.75,0.009953147731721401,648
409600,0.16,0.2,0.02,577.91,0.07556257365271449,14.75,0.007264266721904278,648
417792,0.21,0.23,0.04,572.08,0.630290721654892,14.54,0.018361402675509453,646
425984,0.1,0.19,0.04,584.61,-0.6911208444833755,11.36,0.005887753330171108,646
434176,0.11,0.2,0.04,581.69,-0.5191099178791047,11.36,0.0037624852266162634,646
442368,0.15,0.24,0.04,572.15,0.3167737156152725,9.59,0.005688156466931105,646
450560,0.2,0.26,0.07,563.3,0.8606774622201919,10.47,0.012076418846845627,646
458752,0.23,0.28,0.08,560.66,1.3102527379989624,10.48,0.0073510571382939816,645
466944,0.13,0.26,0.07,575.05,-0.2705469274520874,9.03,0.013134597800672054,645
475136,0.15,0.26,0.07,570.23,-0.0026244509220123293,9.03,0.01776309683918953,645
483328,0.22,0.25,0.08,554.01,1.0253430169820785,9.95,0.014804942533373833,645
491520,0.25,0.28,0.07,547.93,1.4544466108083725,9.95,0.00840577483177185,644
499712,0.16,0.26,0.08,565.65,0.47748406052589415,5.47,0.0038783233612775803,643
507904,0.19,0.28,0.08,556.03,1.1326546901464463,4.77,0.009365865960717201,643
516096,0.22,0.29,0.08,548.68,1.641669112443924,4.77,0.011245157569646835,643
524288,0.25,0.32,0.08,541.64,2.326971720457077,3.9,0.006451960653066635,642
532480,0.24,0.34,0.06,543.26,2.5194905558228493,1.59,0.010479170829057693,642
540672,0.17,0.32,0.06,559.99,1.1957755210995673,1.59,0.012447167187929153,642
548864,0.18,0.33,0.06,554.9,1.5636308732628823,0.68,0.01540380995720625,641
557056,0.21,0.34,0.06,547.06,2.0730634000897408,0.68,0.0044989027082920074,641
565248,0.24,0.41,0.03,538.22,2.6485619232058526,0.68,0.005300048738718033,641
573440,0.23,0.43,0.02,541.87,2.41005758613348,0.69,0.005018489435315132,641
581632,0.21,0.43,0.02,544.73,1.9299908190965653,1.33,0.019258107990026474,641
589824,0.23,0.42,0.01,538.55,2.36817956507206,1.34,0.00714859738945961,640
598016,0.23,0.38,0.01,538.55,2.3198520243167877,1.34,0.010218579322099686,640
606208,0.21,0.38,0.0,543.63,1.9804822677373886,0.81,0.01176248025149107,640
614400,0.14,0.4,0.0,560.99,0.654335817694664,0.83,0.006733337417244911,639
622592,0.16,0.38,0.0,553.11,1.0284955376386642,0.83,0.006829498801380396,639
630784,0.18,0.39,0.01,547.76,1.316273186802864,1.32,0.007053663022816181,639
