episodes,route_opt,success,hazard,obey,mean_return,entropy,sps
256,0.5,0.5,0.0,1.0,8.304805755615234,0.6808566860854626,678
512,0.528,0.528,0.19,1.0,9.87944221496582,0.6216752827167511,680
768,0.654,0.652,0.19,1.0,12.96940803527832,0.5042366590350866,676
1024,0.766,0.764,0.222,1.0,14.322669982910156,0.3497853484004736,674
1280,0.838,0.834,0.222,1.0,16.14840316772461,0.23243701085448265,671
1536,0.908,0.904,0.0,1.0,17.070232391357422,0.17726744338870049,670
1792,0.94,0.94,0.0,1.0,17.695270538330078,0.13621776970103383,668
2048,0.96,0.956,0.0,1.0,17.736446380615234,0.0817157388664782,667
2304,0.976,0.972,0.0,1.0,18.131004333496094,0.06133652152493596,667
2560,0.98,0.978,0.0,1.0,18.23064613342285,0.051485970383509994,665
2816,0.988,0.984,0.0,1.0,18.531715393066406,0.047885806299746037,664
3072,0.992,0.99,0.0,1.0,18.390621185302734,0.030679680523462594,664
3328,0.99,0.988,0.0,1.0,18.372344970703125,0.020989442011341453,663
3584,0.996,0.992,0.0,1.0,18.509174346923828,0.03454639692790806,663
3840,0.996,0.992,0.0,1.0,18.476642608642578,0.02092751959571615,662
4096,0.994,0.99,0.0,1.0,18.360464096069336,0.015425831486936659,662
4352,0.996,0.99,0.0,1.0,18.484172821044922,0.014669064083136618,661
4608,1.0,0.996,0.0,1.0,18.574153900146484,0.013150531915016472,661
4864,1.0,0.996,0.0,1.0,18.384902954101562,0.01287794002564624,661
5121,1.0,0.994,0.0,1.0,18.521724700927734,0.012736567470710725,661
5377,1.0,0.998,0.0,1.0,18.727397918701172,0.01238345488673076,661
5633,1.0,0.998,0.0,1.0,18.56730842590332,0.012718048645183444,660
5889,1.0,0.992,0.0,1.0,18.429821014404297,0.012644772243220359,661
