episodes,route_opt,success,hazard,obey,mean_return,entropy,sps
261,0.5670498084291188,0.5632183908045977,0.2796934865900383,1.0,9.666085243225098,0.656961390376091,669
517,0.56,0.556,0.146,1.0,10.058168411254883,0.63887794688344,673
773,0.59,0.584,0.0,1.0,10.15045166015625,0.4811671506613493,675
1030,0.71,0.706,0.0,1.0,15.087837219238281,0.33994467556476593,673
1286,0.854,0.854,0.0,1.0,16.1287899017334,0.2735781595110893,672
1542,0.908,0.908,0.0,1.0,17.41162109375,0.20989216305315495,670
1798,0.93,0.928,0.0,1.0,17.106538772583008,0.13978458428755403,669
2054,0.94,0.934,0.0,1.0,17.371702194213867,0.1007548812776804,668
2311,0.958,0.95,0.0,1.0,17.738323211669922,0.07044126489199698,668
2567,0.976,0.972,0.0,1.0,18.340633392333984,0.045988906640559435,667
2823,0.988,0.982,0.0,1.0,18.29969024658203,0.03064793476369232,666
3080,0.996,0.986,0.0,1.0,18.393827438354492,0.023301308159716427,666
3336,0.996,0.992,0.0,1.0,18.314149856567383,0.021700572571717203,665
3592,0.998,0.992,0.0,1.0,18.43895721435547,0.026346113765612245,665
3848,1.0,0.994,0.0,1.0,18.52808952331543,0.026506466907449067,664
4104,0.996,0.988,0.0,1.0,18.155454635620117,0.024997847620397806,664
4360,0.992,0.984,0.0,1.0,18.224966049194336,0.023023712332360446,664
4616,0.994,0.992,0.0,1.0,18.406532287597656,0.028984021511860192,663
4872,0.994,0.994,0.0,1.0,18.466022491455078,0.01438619801774621,663
5128,0.994,0.992,0.0,1.0,18.445323944091797,0.013243667548522353,663
5384,0.998,0.996,0.0,1.0,18.575042724609375,0.014909475634340197,663
5640,1.0,1.0,0.0,1.0,18.614383697509766,0.015767861565109342,662
5896,0.998,0.996,0.0,1.0,18.417724609375,0.015830854361411184,662
