timestamp,step,frame_age_s,header_age_s,raw_a0,raw_a1,raw_a2,scaled_x,scaled_y,scaled_wz,clamped_x,clamped_y,clamped_wz,armed,route,status
1786592106.191818,38,0.0681,0.0793,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592106.287298,39,0.0279,0.0458,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592106.386008,40,0.0057,0.0119,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592106.489324,41,0.0327,0.0456,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592106.586741,42,0.0049,0.0123,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592106.688426,43,0.0327,0.0459,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592106.786459,44,0.0048,0.0121,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592106.885945,45,0.0313,0.0449,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592106.985926,46,0.0054,0.0119,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592107.085817,47,0.0342,0.0455,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592107.187432,48,0.0043,0.0118,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592107.286854,49,0.0349,0.0455,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592107.390938,50,0.0038,0.0121,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592107.495875,51,0.0280,0.0448,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592107.588279,52,0.0729,0.0796,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592107.687920,53,0.0366,0.0448,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592107.801816,54,0.0020,0.0192,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592107.902785,55,0.0953,0.1126,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592107.990788,56,0.1952,0.2125,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592108.101804,57,0.2950,0.3122,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592108.211849,58,0.0784,0.0961,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592108.301497,59,0.0252,0.0453,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592108.403390,60,0.0661,0.0782,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592108.493971,61,0.0329,0.0454,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592108.591856,62,0.0724,0.0819,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592108.694421,63,0.0332,0.0457,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592108.792029,64,0.0698,0.0791,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592108.901328,65,0.0218,0.0460,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592108.995021,66,0.0706,0.0816,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592109.093604,67,0.0307,0.0455,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
1786592109.192414,68,0.0700,0.0790,-1.000000,0.639095,-1.000000,-0.500000,0.319548,-1.500000,-0.150000,0.150000,-0.500000,0,top,disarmed
